date,max,min
2024-04-25,18.0,7.3
2024-04-26,15.7,7.2
2024-04-27,12.7,4.7
2024-04-28,14.0,4.5
2024-04-29,17.7,3.4
2024-04-30,15.7,5.1
2024-05-01,11.2,3.9
2024-05-02,13.6,2.8
2024-05-03,17.4,3.6
2024-05-04,21.2,9.1
2024-05-05,18.8,10.5
2024-05-06,18.0,9.5
2024-05-07,21.0,6.7
2024-05-08,24.6,7.9
2024-05-09,26.6,7.6
2024-05-10,28.0,9.7
2024-05-11,26.7,12.1
2024-05-12,24.1,10.8
2024-05-13,23.8,9.3
2024-05-14,15.7,6.7
2024-05-15,16.6,5.7
2024-05-16,16.9,6.6
2024-05-17,17.8,8.8
2024-05-18,18.2,6.7
2024-05-19,18.1,9.2
2024-05-20,19.7,7.2
2024-05-21,18.9,8.5
2024-05-22,18.8,7.3
2024-05-23,23.1,7.1
2024-05-24,26.5,8.0
2024-05-25,25.8,10.8
2024-05-26,24.2,11.4
2024-05-27,25.5,9.7
2024-05-28,29.2,11.2
2024-05-29,31.2,12.4
2024-05-30,32.2,15.4
2024-05-31,27.1,10.3
2024-06-01,26.0,8.0
2024-06-02,27.5,8.9
2024-06-03,28.6,10.5
2024-06-04,30.4,12.8
2024-06-05,30.9,14.8
2024-06-06,32.2,15.5
2024-06-07,30.6,19.4
2024-06-08,24.0,14.5
2024-06-09,23.5,14.5
2024-06-10,24.3,11.8
2024-06-11,25.2,9.2
2024-06-12,23.6,11.1
2024-06-13,27.7,10.2
2024-06-14,27.0,13.4
2024-06-15,23.9,9.7
2024-06-16,26.5,11.1
2024-06-17,27.8,11.6
2024-06-18,21.6,12.2
2024-06-19,20.8,10.2
2024-06-20,21.5,12.2
2024-06-21,27.0,11.4
2024-06-22,28.4,13.3
2024-06-23,31.0,14.6
2024-06-24,31.4,15.7
2024-06-25,32.8,17.2
2024-06-26,31.1,16.9
2024-06-27,32.8,18.0
2024-06-28,25.8,15.0
2024-06-29,20.0,15.0
2024-06-30,23.6,12.3
2024-07-01,28.1,14.0
2024-07-02,30.3,14.4
2024-07-03,32.3,15.7
2024-07-04,35.2,16.3
2024-07-05,35.7,17.8
2024-07-06,28.6,16.3
2024-07-07,28.4,12.0
2024-07-08,30.3,14.4
2024-07-09,29.0,17.6
2024-07-10,32.0,16.5
2024-07-11,30.4,18.4
2024-07-12,30.2,15.0
2024-07-13,31.3,15.0
2024-07-14,30.4,14.4
2024-07-15,27.3,15.8
2024-07-16,29.8,11.9
2024-07-17,34.2,14.7
2024-07-18,35.3,15.9
2024-07-19,35.8,17.6
2024-07-20,29.8,18.0
2024-07-21,30.6,15.4
2024-07-22,34.2,15.0
2024-07-23,37.1,16.5
